Estado_CVE,Municipio_CVE,Municipio,centroid_lat,centroid_lon,Pertenece
05,004,Arteaga,25.341307306921117,-100.64231651709547,True
05,015,Juárez,27.65659680357228,-100.69347892729104,True
05,037,Villa Unión,28.097304461059803,-100.78030012050303,True
05,032,San Juan de Sabinas,28.064337238890033,-101.38976291729675,True
05,018,Monclova,26.89695799325784,-101.19445587049813,True
05,034,Sierra Mojada,27.48155254167164,-103.61013638781151,True
05,007,Cuatro Ciénegas,26.69916712727894,-102.29904706078202,True
05,014,Jiménez,29.00307210451786,-100.95112874823444,True
05,027,Ramos Arizpe,25.91374211032643,-101.28230916949799,True
05,030,Saltillo,25.029402313037604,-101.12493622629226,True
06,010,Villa de Álvarez,19.30932337646985,-103.84316653012219,True
06,005,Cuauhtémoc,19.32730150206769,-103.59508915781637,True
06,002,Colima,19.1159436475704,-103.63203049610357,True
06,003,Comala,19.393300512909597,-103.7698438737536,True
06,001,Armería,19.009436911293704,-103.99822374934709,True
06,006,Ixtlahuacán,18.96824545392339,-103.68223148329832,True
06,004,Coquimatlán,19.188315671760904,-103.92040145333483,True
06,008,Minatitlán,19.3719898506508,-104.03125892937949,True
06,007,Manzanillo,19.149145927159125,-104.2903406367596,True
06,009,Tecomán,18.863376475352897,-105.03821867216149,False
07,023,Chamula,16.819410285145196,-92.67997520699801,True
07,087,Suchiate,14.63926040430584,-92.22673336239488,True
07,031,Chilón,17.10980728275044,-92.03556212066997,True
07,097,Tonalá,15.997328049076245,-93.69107116603361,True
07,004,Altamirano,16.661702413215327,-91.86276670930404,True
07,090,Tapalapa,17.21901496794208,-93.11262981270376,True
07,050,La Libertad,17.606917243388178,-91.75141798434892,True
07,099,La Trinitaria,16.02476021282737,-91.89936081038853,True
07,096,Tila,17.379623868162962,-92.48586333376197,True
07,108,Villaflores,16.34645481473756,-93.37528140054528,True
07,058,Nicolás Ruíz,16.438521226020853,-92.6106333146592,True
07,029,Chicoasén,16.995127892844717,-93.11113771995159,True
07,017,Cintalapa,16.71324270714864,-93.86720591803682,True
07,046,Jiquipilas,16.522982420371534,-93.67171736860004,True
07,007,Amatenango del Valle,16.515981986703327,-92.3948086929316,True
07,093,Tenejapa,16.833084307212278,-92.47209337077834,True
07,060,Ocotepec,17.220404865916223,-93.1741528093787,True
07,051,Mapastepec,15.461384677854273,-92.89174869740908,True
07,022,Chalchihuitán,17.020862854753368,-92.612329805368,True
07,065,Palenque,17.443508397573822,-91.81210882505,True
07,010,Bejucal de Ocampo,15.492890862729698,-92.16183132198094,True
07,094,Teopisca,16.56056015968558,-92.50863337076414,True
07,073,Rayón,17.19300001142987,-92.9966262233065,True
07,118,San Andrés Duraznal,17.15099821676202,-92.80459995339619,True
07,053,Mazapa de Madero,15.373591307072545,-92.1853151255593,True
07,012,Berriozábal,16.867371543759482,-93.3188711852784,True
07,028,Chiapilla,16.55233824062414,-92.72700376794498,True
07,045,Ixtapangajoya,17.466865181253933,-92.97576245393056,True
07,069,Pijijiapan,15.669736333811397,-93.19304672690689,True
07,041,La Independencia,16.20501774662923,-91.79586854938985,True
07,111,Zinacantán,16.721699965996144,-92.78238610867332,True
07,098,Totolapa,16.51505723657997,-92.65964941966092,True
07,011,Bella Vista,15.62003607155733,-92.24258914493412,True
07,008,Angel Albino Corzo,15.757987990812182,-92.68114599896052,True
07,021,Copainalá,17.093553005658936,-93.25269695562186,True
07,115,Maravilla Tenejapa,16.19856211853389,-91.24831664144064,True
